id,key,value,type
33506651,highway,motorway_link,regular
33506651,oneway,yes,regular
33506652,highway,motorway_link,regular
33506652,oneway,yes,regular
33506653,highway,motorway_link,regular
33506653,oneway,yes,regular
33506654,highway,motorway_link,regular
33506654,oneway,yes,regular
33506657,highway,motorway_link,regular
33506657,oneway,yes,regular
33506659,bridge,yes,regular
33506659,highway,motorway_link,regular
33506659,layer,1,regular
33506659,oneway,yes,regular
33506660,highway,motorway_link,regular
33506660,oneway,yes,regular
33506663,bridge,yes,regular
33506663,highway,motorway_link,regular
33506663,layer,1,regular
33506663,oneway,yes,regular
33506664,highway,motorway_link,regular
33506664,oneway,yes,regular
33506665,highway,motorway_link,regular
33506665,oneway,yes,regular
33506666,bridge,yes,regular
33506666,highway,motorway_link,regular
33506666,layer,1,regular
33506666,oneway,yes,regular
33506667,bridge,yes,regular
33506667,highway,motorway_link,regular
33506667,layer,1,regular
33506667,oneway,yes,regular
33506668,highway,motorway_link,regular
33506668,oneway,yes,regular
33545341,highway,motorway_link,regular
33545341,oneway,yes,regular
33545342,bridge,yes,regular
33545342,highway,motorway_link,regular
33545342,layer,1,regular
33545342,oneway,yes,regular
33545344,bridge,viaduct,regular
33545344,highway,motorway,regular
33545344,lanes,3,regular
33545344,layer,1,regular
33545344,name,guangzhouhuanchenggaosu,regular
33545344,oneway,yes,regular
33545344,ref,S81,regular
33545345,bridge,viaduct,regular
33545345,highway,motorway,regular
33545345,lanes,3,regular
33545345,layer,1,regular
33545345,name,guangzhouhuanchenggaosu,regular
33545345,oneway,yes,regular
33545345,ref,S81,regular
33545346,bridge,yes,regular
33545346,highway,motorway,regular
33545346,lanes,3,regular
33545346,name,guangzhouhuanchenggaosu,regular
33545346,oneway,yes,regular
33545346,ref,S81,regular
33545347,bridge,yes,regular
33545347,highway,motorway_link,regular
33545347,layer,1,regular
33545347,oneway,yes,regular
33545349,highway,motorway_link,regular
33545349,oneway,yes,regular
33545350,bridge,yes,regular
33545350,highway,motorway_link,regular
33545350,layer,1,regular
33545350,oneway,yes,regular
33545352,bridge,yes,regular
